Fi,Ex,Pi,exx,pii,lfi,lex,lpi,lafi,laex,lapi,id,dd,red
0.618033989,0.367879441,0.318309886,0.718281828,0.141592654,-0.481211825,-1,-1.144729886,0.481211825,1,1.144729886,1,1,1
0.236067977,0.735758882,0.636619772,0.436563657,0.283185307,-1.443635477,-0.30685282,-0.451582706,1.443635477,0.30685282,0.451582706,2,1,2
0.854101966,0.103638324,0.954929659,0.154845485,0.424777961,-0.157704694,-2.266848095,-0.046117597,0.157704694,2.266848095,0.046117597,3,1,3
0.472135955,0.471517765,0.273239545,0.873127314,0.566370614,-0.750488295,-0.7517985,-1.297406414,0.750488295,0.7517985,1.297406414,4,1,4
0.090169944,0.839397206,0.591549431,0.591409142,0.707963268,-2.406059123,-0.175071257,-0.52501003,2.406059123,0.175071257,0.52501003,5,1,5
0.708203932,0.207276647,0.909859317,0.309690971,0.849555922,-0.345023187,-1.573700919,-0.094465288,0.345023187,1.573700919,0.094465288,6,1,6
0.326237921,0.575156088,0.228169203,0.027972799,0.991148575,-1.120128345,-0.553113818,-1.477667807,1.120128345,0.553113818,1.477667807,7,1,7
0.94427191,0.943035529,0.546479089,0.746254628,0.132741229,-0.057341114,-0.05865132,-0.604259236,0.057341114,0.05865132,0.604259236,8,1,8
0.562305899,0.310914971,0.864788976,0.464536456,0.274333882,-0.575709273,-1.168235809,-0.14526976,0.575709273,1.168235809,0.14526976,9,1,9
0.180339887,0.678794412,0.183098862,0.182818285,0.415926536,-1.712911948,-0.387436978,-1.697729043,1.712911948,0.387436978,1.697729043,10,1,1
0.798373876,0.046673853,0.501408748,0.901100113,0.557519189,-0.225178275,-3.064571164,-0.690333646,0.225178275,3.064571164,0.690333646,11,1,2
0.416407865,0.414553294,0.819718634,0.619381942,0.699111843,-0.876090054,-0.880553738,-0.198794127,0.876090054,0.880553738,0.198794127,12,1,3
0.034441854,0.782432735,0.13802852,0.33766377,0.840704497,-3.368482768,-0.245347322,-1.980294949,3.368482768,0.245347322,1.980294949,13,1,4
0.652475842,0.150312176,0.456338407,0.055945598,0.98229715,-0.426981164,-1.895040974,-0.784520624,0.426981164,1.895040974,0.784520624,14,1,5
0.270509831,0.518191618,0.774648293,0.774227427,0.123889804,-1.307446838,-0.657410186,-0.255346168,1.307446838,0.657410186,0.255346168,15,1,6
0.88854382,0.886071059,0.092958179,0.492509255,0.265482457,-0.118171314,-0.12095813,-2.375605575,0.118171314,0.12095813,2.375605575,16,1,7
0.506577809,0.2539505,0.411268065,0.210791084,0.407075111,-0.680077346,-1.370615913,-0.888510051,0.680077346,1.370615913,0.888510051,17,1,8
0.124611797,0.621829941,0.729577951,0.929072912,0.548667765,-2.082551998,-0.47508863,-0.315289061,2.082551998,0.47508863,0.315289061,18,1,9
0.742645786,0.989709382,0.047887837,0.647354741,0.690260418,-0.297536083,-0.010343932,-3.038893732,0.297536083,0.010343932,3.038893732,19,1,1
0.360679775,0.357588823,0.366197724,0.365636569,0.831853072,-1.019764764,-1.028371492,-1.004581862,1.019764764,1.028371492,1.004581862,20,1,2
0.978713764,0.725468265,0.68450761,0.083918398,0.973445725,-0.021516055,-0.32093795,-0.379055517,0.021516055,0.32093795,0.379055517,21,1,3
0.596747752,0.093347706,0.002817496,0.802200226,0.115038379,-0.516260781,-2.371423983,-5.871906732,0.516260781,2.371423983,5.871906732,22,1,4
0.214781741,0.461227147,0.321127382,0.520482055,0.256631033,-1.538132925,-0.773864631,-1.135917406,1.538132925,0.773864631,1.135917406,23,1,5
0.83281573,0.829106588,0.639437268,0.238763883,0.398223686,-0.182942874,-0.187406558,-0.447166758,0.182942874,0.187406558,0.447166758,24,1,6
0.450849719,0.196986029,0.957747155,0.957045711,0.53981634,-0.796621212,-1.624622472,-0.043171466,0.796621212,1.624622472,0.043171466,25,1,7
0.068883707,0.56486547,0.276057041,0.67532754,0.681408993,-2.675335602,-0.571167682,-1.287147764,2.675335602,0.571167682,1.287147764,26,1,8
0.686917696,0.932744912,0.594366927,0.393609368,0.823001647,-0.375540796,-0.069623522,-0.520258428,0.375540796,0.069623522,0.520258428,27,1,9
0.304951685,0.300624353,0.912676813,0.111891197,0.964594301,-1.187601925,-1.20189379,-0.091373445,1.187601925,1.20189379,0.091373445,28,1,1
0.922985674,0.668503794,0.230986699,0.830173025,0.106186954,-0.080141566,-0.402713207,-1.46539515,0.080141566,0.402713207,1.46539515,29,1,2
0.541019662,0.036383235,0.549296586,0.548454854,0.247779608,-0.614299657,-3.313647187,-0.599116754,0.614299657,3.313647187,0.599116754,30,1,3
0.159053651,0.404262676,0.867606472,0.266736682,0.389372261,-1.838513706,-0.905690424,-0.14201704,1.838513706,0.905690424,0.14201704,31,1,4
0.77708764,0.772142117,0.185916358,0.985018511,0.530964915,-0.252202142,-0.258586657,-1.682458395,0.252202142,0.258586657,1.682458395,32,1,5
0.395121629,0.140021559,0.504226244,0.703300339,0.672557568,-0.92856164,-1.965958875,-0.684730215,0.92856164,1.965958875,0.684730215,33,1,6
0.013155617,0.507901,0.82253613,0.421582168,0.814150222,-4.330906463,-0.677468732,-0.19536287,4.330906463,0.677468732,0.19536287,34,1,7
0.631189606,0.875780441,0.140846016,0.139863996,0.955742876,-0.460148977,-0.132639858,-1.96008807,0.460148977,0.132639858,1.96008807,35,1,8
0.249223595,0.243659882,0.459155903,0.858145825,0.097335529,-1.389404814,-1.411981952,-0.778365469,1.389404814,1.411981952,0.778365469,36,1,9
